	Edge	Cluster	Deviation	pval	zscore	fdr
r_ERK12_EGFRY1045	r_ERK12_EGFRY1045	9	0.6428065396018277	0.09090909090909091	1.5294592774546487	0.3894461702680881
r_STAT1_SRC	r_STAT1_SRC	6	-0.20568032168322486	0.09290709290709291	-1.6137168102089334	0.3894461702680881
r_CYCLINB1_MAPKAP2	r_CYCLINB1_MAPKAP2	3	0.2782819898669079	0.09290709290709291	1.7021263132602535	0.3894461702680881
r_RB_FZD	r_RB_FZD	7	0.6594884890421298	0.1018981018981019	1.5989824342199588	0.4183185235816815
r_JNK_BMPR	r_JNK_BMPR	3	-0.4346200732587071	0.1028971028971029	-1.5783284643064515	0.4183185235816815
r_ERK12_MAPKAP2	r_ERK12_MAPKAP2	5	0.30793971320904623	0.1038961038961039	1.4162806454451982	0.4183185235816815
r_SMAD15_FAK	r_SMAD15_FAK	8	-0.20562854111509116	0.10589410589410589	-1.5267043460578633	0.4208259273194338
p_ip70S6K.EGF_RPS6	p_ip70S6K.EGF_RPS6	6	-0.13290280085254683	0.1088911088911089	-1.580124985321996	0.4212616651641042
r_CJUN_JNK	r_CJUN_JNK	9	-0.45792330798515507	0.10989010989010989	-1.7187523209503355	0.4212616651641042
s_AKT1	s_AKT1	4	-0.2852131426505274	0.11188811188811189	-1.6942203996317444	0.4212616651641042
r_ERK12_MAPKAP2	r_ERK12_MAPKAP2	3	0.32565987043544475	0.11188811188811189	1.4998814913724974	0.4212616651641042
r_CREB_P38	r_CREB_P38	4	-0.30813065992365996	0.11288711288711288	-1.6271471893833944	0.4212616651641042
r_CJUN_ERK12	r_CJUN_ERK12	1	-0.24140614073421512	0.11688311688311688	-1.6667766289827133	0.42437562437562437
r_CREB_P38	r_CREB_P38	7	-0.2589100415506727	0.11788211788211789	-1.7523049242008988	0.42437562437562437
r_STAT1_SRC	r_STAT1_SRC	4	-0.1866301172889378	0.11788211788211789	-1.5309666324816853	0.42437562437562437
r_SMAD15_FAK	r_SMAD15_FAK	7	0.1971021834846407	0.11988011988011989	1.369140709049476	0.42655019399205446
r_H2A_CREB	r_H2A_CREB	1	-0.4060066172284812	0.12487512487512488	-1.6605190486282428	0.4362154699233351
r_BMPR_BMP	r_BMPR_BMP	2	0.25808836336502256	0.1258741258741259	1.6202690665323036	0.4362154699233351
r_CJUN_JNK	r_CJUN_JNK	5	0.3175811774276697	0.12687312687312688	1.6381016622577578	0.4362154699233351
r_JNK_LRP6	r_JNK_LRP6	6	-0.26556278440747116	0.12887112887112886	-1.5303705603196815	0.43625124875124877
r_RPS6_RSK1T359	r_RPS6_RSK1T359	6	-0.42648027761817897	0.12987012987012986	-1.2087404837668436	0.43625124875124877
r_CYCLINB1_MAPKAP2	r_CYCLINB1_MAPKAP2	9	-0.38728339847174964	0.13386613386613386	-1.6060906687256749	0.43625124875124877
r_CYCLINB1_MKK36	r_CYCLINB1_MKK36	6	-0.3694239904993223	0.13486513486513488	-1.4545722619964558	0.43625124875124877
r_ERK12_MKK36	r_ERK12_MKK36	5	0.42879390135283724	0.13486513486513488	2.4660489123993594	0.43625124875124877
r_H2A_RB	r_H2A_RB	2	-0.0905718195087093	0.13686313686313686	-1.4340368306453133	0.43625124875124877
r_H3_CREB	r_H3_CREB	6	0.18736395060848904	0.13686313686313686	1.3788588293841288	0.43625124875124877
r_STAT1_SRC	r_STAT1_SRC	5	0.1643872493518035	0.14385614385614387	1.4023650628481947	0.4538142270101034
r_H2A_CREB	r_H2A_CREB	5	-0.339017507595663	0.14885114885114886	-1.3465287928856982	0.46478011784134243
r_JNK_LRP6	r_JNK_LRP6	9	0.2747060294547922	0.15484515484515485	1.4138869504955605	0.47861229679411493
