antibody	cluster	treatment	fold_change	p_value	minus_log10_p_value	log2_fold_change	type
P63	6	ip70S6K_EGF	0.888446791550053	0.015732882210323245	1.8031917088213467	-0.17064271803181505	signalling_state_marker
P63	7	ip70S6K_EGF	0.9007971631609334	0.104315057110341	0.9816529998384004	-0.1507258108751897	signalling_state_marker
P63	8	ip70S6K_EGF	0.7866407259718747	0.0011621501997901669	2.9347377387920313	-0.34622321545030105	signalling_state_marker
P63	9	ip70S6K_EGF	0.8785697878329293	0.2507179900350763	0.6008145025290197	-0.18677120585166906	signalling_state_marker
RB_P	1	ip70S6K_EGF	0.9855893862812667	0.8495203187842947	0.07082622923711651	-0.020941375017119374	signalling_state_marker
RB_P	2	ip70S6K_EGF	1.016276131612523	0.8816788209464057	0.05468959139166542	0.023292448942961824	signalling_state_marker
RB_P	3	ip70S6K_EGF	0.9952016264721157	0.9106674495973789	0.0406401863327789	-0.0069392515999782195	signalling_state_marker
RB_P	4	ip70S6K_EGF	1.1379257179353504	0.6495085273685963	0.18741514272056745	0.1864063837745038	signalling_state_marker
RB_P	5	ip70S6K_EGF	1.0209269942512964	0.7674533457252725	0.11494801625458496	0.02987970382846704	signalling_state_marker
RB_P	6	ip70S6K_EGF	0.8877886488720254	0.047880469254121524	1.3198416019273451	-0.17171183218147365	signalling_state_marker
RB_P	7	ip70S6K_EGF	1.0891759884596226	0.6134884380971444	0.21219361764427286	0.12323708276420686	signalling_state_marker
RB_P	8	ip70S6K_EGF	0.4984142453478245	0.001600242540944467	2.7958141884622503	-1.0045827917763266	signalling_state_marker
RB_P	9	ip70S6K_EGF	0.6615280686660207	0.054017908800140055	1.267462232702049	-0.5961257234685684	signalling_state_marker
RELA	1	ip70S6K_EGF	1.0462161776960888	0.4605992941411535	0.3366767319185461	0.06518098377074669	signalling_state_marker
RELA	2	ip70S6K_EGF	1.0768960074619751	0.06698769127542524	1.1740049898700617	0.10687893998183302	signalling_state_marker
RELA	3	ip70S6K_EGF	1.038778771535768	0.26619349609861964	0.5748025598417601	0.054888436540385215	signalling_state_marker
RELA	4	ip70S6K_EGF	1.0916533398512684	0.09798414185146677	1.0088442065900527	0.12651479373243404	signalling_state_marker
RELA	5	ip70S6K_EGF	0.9507171448146335	0.27182967901905486	0.5657031276972387	-0.07291191728394772	signalling_state_marker
RELA	6	ip70S6K_EGF	1.0048426056394837	0.8915541026071032	0.049852297187691685	0.006969541358170647	signalling_state_marker
RELA	7	ip70S6K_EGF	0.9854847856656834	0.6436568899828112	0.19134557751007006	-0.021094496387857545	signalling_state_marker
RELA	8	ip70S6K_EGF	1.0184723010397008	0.8047094562087298	0.09436089521195239	0.0264067444706543	signalling_state_marker
RELA	9	ip70S6K_EGF	1.0494335947742675	0.33595231313372353	0.47372236431452425	0.06961087980696438	signalling_state_marker
RSK1_P_S380	1	ip70S6K_EGF	1.0189279950978711	0.6182715070753912	0.20882076741841496	0.027052103725871898	signalling_state_marker
RSK1_P_S380	2	ip70S6K_EGF	0.9953099159330856	0.8762566832343188	0.057368656636449314	-0.0067822782138434136	signalling_state_marker
RSK1_P_S380	3	ip70S6K_EGF	0.9802635048862514	0.5861381947647184	0.23199997758598903	-0.028758482299323315	signalling_state_marker
RSK1_P_S380	4	ip70S6K_EGF	1.0328716135276683	0.45750900904566694	0.33960034959688196	0.04666093761236177	signalling_state_marker
RSK1_P_S380	5	ip70S6K_EGF	1.0035354488445642	0.9315985878648672	0.03077117844882182	0.00509157930041123	signalling_state_marker
RSK1_P_S380	6	ip70S6K_EGF	1.0333501454647385	0.1624753530351536	0.7892125107015432	0.04732918695380524	signalling_state_marker
RSK1_P_S380	7	ip70S6K_EGF	1.0021986128262306	0.9552328074402683	0.01989077012844568	0.0031684460031545405	signalling_state_marker
RSK1_P_S380	8	ip70S6K_EGF	1.00775005671115	0.8864667122482667	0.05233756796867107	0.01113786437668038	signalling_state_marker
RSK1_P_S380	9	ip70S6K_EGF	1.0748329349177772	0.18638205809931688	0.7295958969364243	0.10411243405077135	signalling_state_marker
SMAD2_3_P	1	ip70S6K_EGF	1.1200921978782927	0.024456268166146926	1.6116098121606344	0.16361748937867618	signalling_state_marker
SMAD2_3_P	2	ip70S6K_EGF	0.9387035536210047	0.09232085342441271	1.0347001895024681	-0.09125847401104617	signalling_state_marker
SMAD2_3_P	3	ip70S6K_EGF	1.0153392483844637	0.6317273550404098	0.19947031689084388	0.02196184582178555	signalling_state_marker
SMAD2_3_P	4	ip70S6K_EGF	1.057319163860625	0.2160290941819424	0.665487755368596	0.08041093643203642	signalling_state_marker
SMAD2_3_P	5	ip70S6K_EGF	1.1078021351723584	0.012653805685954877	1.8977788389274073	0.14770022425984025	signalling_state_marker
SMAD2_3_P	6	ip70S6K_EGF	0.9631500289035917	0.24153779279628657	0.6170149066567747	-0.05416755217008894	signalling_state_marker
SMAD2_3_P	7	ip70S6K_EGF	1.0576814968199781	0.17697687395183886	0.7520834803686042	0.08090524925041179	signalling_state_marker
SMAD2_3_P	8	ip70S6K_EGF	0.9912438428551218	0.8498151801215437	0.07067551543979812	-0.012688095392279606	signalling_state_marker
SMAD2_3_P	9	ip70S6K_EGF	1.1680051001010072	0.0152412677368295	1.8169789077857068	0.22404657376790194	signalling_state_marker
SMAD3	1	ip70S6K_EGF	1.0357492238917594	0.3197920553361509	0.49513232972839716	0.050674739276396465	signalling_state_marker
SMAD3	2	ip70S6K_EGF	1.0170326085270762	0.5990646349162991	0.22252631772233847	0.024365936231913198	signalling_state_marker
SMAD3	3	ip70S6K_EGF	1.0523425141990228	0.029256272502367318	1.533781007492159	0.07360434637094311	signalling_state_marker
SMAD3	4	ip70S6K_EGF	1.063592008584352	0.1124168258199348	0.9491686815261681	0.08894484250092433	signalling_state_marker
SMAD3	5	ip70S6K_EGF	0.9966181823997251	0.9081989409481712	0.04181900886605134	-0.004887199956197052	signalling_state_marker
SMAD3	6	ip70S6K_EGF	1.0409644082791245	0.09132894684305161	1.0393915503767095	0.0579207421464404	signalling_state_marker
SMAD3	7	ip70S6K_EGF	1.0181263922484285	0.51144189880805	0.29120369618500164	0.025916671581761853	signalling_state_marker
SMAD3	8	ip70S6K_EGF	1.0339478186423579	0.43509134923478	0.3614195515428344	0.048163377446340146	signalling_state_marker
SMAD3	9	ip70S6K_EGF	0.9586163166030777	0.48198702291250484	0.3169646546104455	-0.06097459861710566	signalling_state_marker
