"","sample_id","plate_number","treatment","cluster_round_2","cluster_round_5","cluster_round_6","cluster_round_7","cluster_round_8"
"436","plate_7_226","plate_7","ip70S6K_EGF",4,7,4,4,2
"437","plate_12_246","plate_12","EGF",5,5,5,5,6
"438","plate_13_246","plate_13","EGF",3,7,3,1,1
"439","plate_3_246","plate_3","EGF",1,4,1,3,3
"440","plate_4_246","plate_4","iRSK_EGF",4,6,4,6,7
"441","plate_9_246","plate_9","ip70S6K_EGF",9,9,9,9,9
"442","plate_12_162","plate_12","EGF",4,3,2,2,2
"443","plate_4_162","plate_4","EGF",4,4,4,3,3
"444","plate_6_162","plate_6","iRSK_EGF",8,3,7,7,5
"445","plate_7_162","plate_7","EGF",3,7,3,4,4
"446","plate_8_162","plate_8","EGF",6,5,5,5,6
"447","plate_9_162","plate_9","EGF",1,4,1,3,3
"448","plate_11_152","plate_11","ip70S6K_EGF",4,6,4,6,7
"449","plate_12_152","plate_12","ip70S6K_EGF",2,3,7,2,5
"450","plate_6_152","plate_6","EGF",3,1,3,1,1
"451","plate_10_239","plate_10","iRSK_EGF",8,3,7,7,5
"452","plate_12_239","plate_12","EGF",9,9,9,9,9
"453","plate_2_239","plate_2","iRSK_EGF",4,6,4,6,7
"454","plate_3_239","plate_3","iRSK_EGF",7,8,8,8,8
"455","plate_7_239","plate_7","iRSK_EGF",8,3,7,7,5
"456","plate_10_243","plate_10","EGF",9,9,9,9,9
"457","plate_11_243","plate_11","EGF",9,9,9,9,9
"458","plate_12_243","plate_12","iRSK_EGF",5,5,5,5,6
"459","plate_13_243","plate_13","ip70S6K_EGF",9,9,9,9,9
"460","plate_2_243","plate_2","EGF",9,9,9,9,9
"461","plate_7_243","plate_7","iRSK_EGF",9,9,9,9,9
"462","plate_10_164","plate_10","ip70S6K_EGF",3,7,3,4,4
"463","plate_11_164","plate_11","ip70S6K_EGF",6,1,6,1,1
"464","plate_12_164","plate_12","iRSK_EGF",5,6,4,6,7
"465","plate_4_164","plate_4","ip70S6K_EGF",2,3,7,7,5
"466","plate_6_164","plate_6","iRSK_EGF",8,3,7,7,5
"467","plate_7_164","plate_7","EGF",5,5,5,5,6
"468","plate_8_164","plate_8","ip70S6K_EGF",7,4,3,4,4
"469","plate_10_158","plate_10","ip70S6K_EGF",2,3,2,2,2
"470","plate_2_158","plate_2","EGF",7,4,1,4,4
"471","plate_4_158","plate_4","ip70S6K_EGF",3,1,3,1,1
"472","plate_9_158","plate_9","ip70S6K_EGF",1,2,1,4,4
"473","plate_10_225","plate_10","iRSK_EGF",8,3,7,7,5
"474","plate_12_225","plate_12","ip70S6K_EGF",5,5,5,5,6
"475","plate_13_225","plate_13","iRSK_EGF",5,5,5,5,6
"476","plate_2_225","plate_2","ip70S6K_EGF",7,8,8,8,8
